name,sub_network,category,Tc_K,Gap_meV,ThetaD_K,EF_eV,lock_family,sub_order,notes
Ba(Fe0.8Co0.2)2As2,single,SC_IronBased,25.3,4,250,0.2,mixed,0,"122-type, Co-doped (electron)"
Ba(Fe0.9Co0.1)2As2,single,SC_IronBased,22,3.5,250,0.2,mixed,0,"122-type, Co-doped (electron)"
Ba0.6K0.4Fe2As2,single,SC_IronBased,38,6,250,0.2,mixed,0,"122-type, K-doped (hole)"
FeSe,pi,SC_IronBased,8.4,0.25,242,0.01,mixed,2,iron chalcogenide (small gap)
FeSe,sigma,SC_IronBased,8.4,1.5,242,0.01,mixed,1,iron chalcogenide (large gap)
FeSe (monolayer on STO),single,SC_IronBased,55,15,242,0.01,mixed,0,interface-enhanced SC
FeSe0.5Te0.5,single,SC_IronBased,14.5,2.2,240,0.01,mixed,0,optimal Te doping
FeSe0.7Te0.3,single,SC_IronBased,20,3,245,0.01,mixed,0,high Tc composition
FeSe1-xSx (x=0.17),single,SC_IronBased,10,1.8,250,0.01,mixed,0,nematic end point
LaO0.9F0.1FeAs,single,SC_IronBased,26,4.1,280,0.2,mixed,0,1111-type
LiFeAs,single,SC_IronBased,18,2.8,270,0.15,mixed,0,111-type
NdFeAsO0.9F0.1,single,SC_IronBased,52,8,280,0.2,mixed,0,1111-type
PrFeAsO0.9F0.1,single,SC_IronBased,52,8,280,0.2,mixed,0,1111-type
SmFeAsO0.9F0.1,single,SC_IronBased,43,7,280,0.2,mixed,0,1111-type
(TMTSF)2PF6 (under P),single,SC_Molecular,1.1,0.2,200,0.1,rational,0,organic SC under pressure
Cs3C60,single,SC_Molecular,33,5,100,3.5,rational,0,molecular SC
K3C60,single,SC_Molecular,18,3,120,3.5,rational,0,molecular SC
Rb3C60,single,SC_Molecular,28,4.2,110,3.5,rational,0,molecular SC
Ba0.6K0.4BiO3,single,SC_Oxide,30,4.5,300,5,mixed,0,oxide (high Tc)
BaPb0.75Bi0.25O3,single,SC_Oxide,12,1.8,280,5,mixed,0,oxide
Bi2Sr2CaCu2O8 (Bi-2212),single,SC_Oxide,90,22,400,1.5,mixed,0,cuprate high-Tc
La2-xSrxCuO4 (LSCO x~0.15),single,SC_Oxide,38,7,360,1.5,mixed,0,cuprate high-Tc
SrTiO3-doped,single,SC_Oxide,0.35,0.05,400,4.5,mixed,0,oxide mixed locking
YBa2Cu3O7 (YBCO),single,SC_Oxide,92,20,420,1.5,mixed,0,cuprate high-Tc
Al,single,SC_TypeI,1.2,0.18,428,11.7,integer,0,clean type-I
Cd,single,SC_TypeI,0.52,0.078,209,7.46,integer,0,Type I (low Tc)
Hg,single,SC_TypeI,4.15,0.74,96,8.9,integer,0,type-I
In,single,SC_TypeI,3.41,0.53,129,9.46,integer,0,type-I
La,single,SC_TypeI,4.9,0.74,142,7.7,integer,0,Lanthanum (dhcp)
Pb,single,SC_TypeI,7.2,1.35,105,9.47,integer,0,locking integers
Sn,single,SC_TypeI,3.72,0.57,200,10.2,integer,0,type-I
Tl,single,SC_TypeI,2.39,0.36,96,8.8,integer,0,type-I
Zn,single,SC_TypeI,0.85,0.13,327,9.47,integer,0,Type I (low Tc)
Hf,single,SC_TypeII,0.13,0.02,242,7.7,integer,0,Type II (d-metal)
Mo,single,SC_TypeII,0.92,0.14,450,6.6,integer,0,high X
Nb,single,SC_TypeII,9.25,1.55,275,5.32,integer,0,type-II
NbN,single,SC_TypeII,16.15,2.46,363,5.32,integer,0,versiones diferentes
Re,single,SC_TypeII,1.7,0.28,416,11.2,integer,0,Type II (d-metal)
Ta,single,SC_TypeII,4.47,0.7,245,7,integer,0,type-II
Ti,single,SC_TypeII,0.4,0.06,420,8.9,integer,0,Type II (d-metal)
V,single,SC_TypeII,5.4,0.85,380,5.3,integer,0,type-II
Zr,single,SC_TypeII,0.61,0.09,291,8.3,integer,0,Type II (d-metal)
Helium-3 (He-3) B-phase,0-bar,Superfluid,0.0025,0.000380024,4.55,0.000392,rational,1,BCS proxy for p-wave gap; EF from Fermi liquid; ThetaD_K=T_F proxy
Helium-3 (He-3) B-phase,10-bar,Superfluid,0.0028,0.000425627,4.55,0.000392,rational,2,Pressure-shifted Tc; BCS proxy; ThetaD_K=T_F proxy
Helium-4 (He-4),1-bar,Superfluid,2.1768,0.743,8.62,0.00074,rational,1,Roton gap anchor (~0.743 meV); ThetaD_K=roton(K) proxy; Tc=lambda point
Helium-4 (He-4),10-bar,Superfluid,2.15,0.74,8.59,0.00074,rational,2,Roton gap weak P-dependence; ThetaD_K=roton(K) proxy
